Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1623359221.8455136,2755,0,0,,0.2720000147819519,0.0,0.0,0.0,0.0,0.0
1623359221.8648736,2756,0,0,,0.181999996304512,0.0,0.0,0.0,0.0,0.0
1623359221.8858123,2757,0,0,,0.1220000013709068,0.0,0.0,0.0,0.0,0.0
1623359221.908924,2758,0,0,,0.1449999958276748,0.0,0.0,0.0,0.0,0.0
1623359221.925133,2759,0,0,,0.2259999960660934,0.0,0.0,0.0,0.0,0.0
1623359221.9447842,2760,0,0,,0.2160000056028366,0.0,0.0,0.0,0.0,0.0
1623359221.966107,2761,0,0,,0.1449999958276748,0.0,0.0,0.0,0.0,0.0
1623359221.9846609,2762,0,0,,0.0970000028610229,0.0,0.0,0.0,0.0,0.0
1623359222.0079648,2763,0,0,,0.0649999976158142,0.0,0.0,0.0,0.0,0.0
1623359222.0252795,2764,0,0,,0.0430000014603138,0.0,0.0,0.0,0.0,0.0
1623359222.044489,2765,0,0,,0.0299999993294477,0.0,0.0,0.0,0.0,0.0
1623359222.0653503,2766,0,0,,0.0839999988675117,0.0,0.0,0.0,0.0,0.0
1623359222.0844748,2767,0,0,,0.1860000044107437,0.0,0.0,0.0,0.0,0.0
1623359222.107213,2768,0,0,,0.1879999935626983,0.0,0.0,0.0,0.0,0.0
1623359222.1249807,2769,0,0,,0.125,0.0,0.0,0.0,0.0,0.0
1623359222.1442354,2770,0,0,,0.0839999988675117,0.0,0.0,0.0,0.0,0.0
1623359222.1684735,2771,0,0,,0.0570000000298023,0.0,0.0,0.0,0.0,0.0
1623359222.1845,2772,0,0,,0.0390000008046627,0.0,0.0,0.0,0.0,0.0
1623359222.209167,2773,0,0,,-0.0379999987781047,0.0,0.0,0.0,0.0,0.0
1623359222.224202,2774,0,0,,-0.1550000011920929,0.0,0.0,0.0,0.0,0.0
1623359222.24464,2775,0,0,,-0.2329999953508377,0.0,0.0,0.0,0.0,0.0
1623359222.264545,2776,0,0,,-0.2849999964237213,0.0,0.0,0.0,0.0,0.0
